CODIGO,CATEGORIA,SUB CATEGORIA,PROVEDOR,DESCRIPCION
SEPARADOR NOVOTEGRA,ESTRUCTURA,PREFABRICADA,BAYWA,"""MIDDLE CLAMP PRO """
ZETA NOVOTEGRA,ESTRUCTURA,PREFABRICADA,BAYWA,"""END CLAMP NOVOTEGRA"""
TRINA 625 MONO,PANEL SOLAR,MONOCRISTALINO,BAYWA,"""TRINA TSM-NE19R 625W"""
,,,,
VARIAFOR FORWARDN 3F 30A,INVERSOR,VARIADOR,VILLAREAL DIVISION DE EQUIPOS,VARIADOR FORWARDN MP 3X230V 30A
ASTRALX 460 MONO,PANEL SOLAR,MONOFASICO,VILLAREAL DIVISION DE EQUIPOS,PANELSOLAR ASTRALX HC 460W MONO 144CEL
STRING BOX 2S,CORRIENTE DIRECTA,GABINETE,VILLAREAL DIVISION DE EQUIPOS,SHIELD STRING BOX 2SERIE 2F15A SP 2DC 10
FOTOVOLTAICO CONERA C.10,CORRIENTE DIRECTA,CONECTORES,VILLAREAL DIVISION DE EQUIPOS,CABLE SOLAR CONNERA 2000V 10AWG (6MM2)
MC4 M,CORRIENTE DIRECTA,CONECTORES,VILLAREAL DIVISION DE EQUIPOS,"""MC4 PV-KBT4/611-UR MALE SOLARLINE CONNECTOR"""
MC4 H,CORRIENTE DIRECTA,CONECTORES,VILLAREAL DIVISION DE EQUIPOS,"""MC4 PV-KBT4/611-UR FEMALE SOLARLINE CONNECTOR"""
EXTENCION CONERA,ESTRUCTURA,PREFABRICADA,VILLAREAL DIVISION DE EQUIPOS,KIT DE EXTENSIÓN 30CM ESTRUCTURA RAINXN
ESTRUCTURA CONERA,ESTRUCTURA,PREFABRICADA,VILLAREAL DIVISION DE EQUIPOS,SPTE SOLAR BASE ALUMINIO 4 MODULOS FV
VARIADOR FORWARDN 3F 460V 17A,INVERSOR,VARIADOR,VILLAREAL DIVISION DE EQUIPOS,VARIADOR FORWARDN MP 3X460V 17A 840VCC
MOTOBOMBA 5HP 3F 230/460V 12L,CORRIENTE DIRECTA,BOMBAS,VILLAREAL DIVISION DE EQUIPOS,MTB.CENT.ALTAM.INOX.12LPS5.5HP3X230/460V
CONTRABRIDA MOTOBOMBA 5HP,CORRIENTE DIRECTA,BOMBAS,VILLAREAL DIVISION DE EQUIPOS,FLUX12 KIT CONTRABRIDA 2.5X2RNPT
